Prac01,3,Prac
Prac02,3,Prac
Prac03,1,Prac
Prac04,2,Prac
Prac05,1,Prac
Prac06,2,Prac
Inst01,2,Inst
Inst02,3,Inst
Inst03,3,Inst
Inst04,2,Inst
Inst05,3,Inst
Inst06,1,Inst
Inst07,1,Inst
Inst08,2,Inst
Post01,1,Post
Post02,3,Post
Post03,1,Post
Post04,2,Post
Post05,3,Post
Post06,1,Post
Post07,3,Post
Post08,3,Post
Post09,3,Post
Post10,3,Post
Post11,2,Post
Post12,2,Post
Post13,3,Post
Post14,3,Post
Post15,3,Post
Post16,2,Post
Post17,3,Post
Post18,1,Post
Post19,1,Post
Post20,3,Post
Post21,3,Post
Post22,2,Post
Post23,2,Post
Post24,3,Post
Post25,2,Post
Post26,3,Post
Post27,1,Post
Post28,1,Post
Post29,2,Post
Post30,1,Post
Post31,2,Post
Post32,1,Post
Post33,3,Post
Post34,1,Post
Post35,2,Post